title,ontology/activeYearsStartYear,ontology/predecessor_label,ontology/parent_label,ontology/deathPlace_label,ontology/successor_label,ontology/title,ontology/activeYearsEndYear,ontology/birthPlace_label,http://purl.org/dc/elements/1.1/description,ontology/deathYear,ontology/spouse_label,ontology/birthYear,ontology/restingPlace_label,ontology/alias,http://www.w3.org/2002/07/owl#differentFrom_label,ontology/deathDate,ontology/birthDate,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,ontology/occupation_label,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.georss.org/georss/point,ontology/viafId,ontology/birthName,ontology/royalAnthem_label,ontology/royalAnthem,ontology/soundRecording,ontology/soundRecording_label,ontology/nationality_label,ontology/nationality,ontology/imdbId,ontology/country_label,ontology/personFunction_label,ontology/education_label,ontology/personFunction,ontology/education,ontology/knownFor_label,ontology/knownFor,ontology/almaMater,ontology/almaMater_label,ontology/residence,ontology/residence_label,ontology/networth,ontology/board,ontology/board_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/relative_label,ontology/relative
Amjad_Ali_Shah,1842,Muhammad Ali Shah,Muhammad Ali Shah,Lucknow,Wajid Ali Shah,KingofOudh,1847,Lucknow,Nawab of Awadh,1847,,1801,"[""Lucknow"",""Hazratganj""]",,,1847-02-13,1801-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amlaíb,_King_of_Scotland",0973,Kenneth II of Scotland,Indulf,,Kenneth II of Scotland,,0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amlaíb_Conung,0853,,Gofraid of Lochlann,,,,0853,,Norse leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amlaíb_Cuarán,0941,Olaf Guthfrithson,"[""Sitric Cáech"",""Edith of Polesworth""]","[""Iona"",""Scotland""]",Edmund I,,0944,,,,,,Iona Abbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoghavarsha,0064,Govinda III,Govinda III,,Krishna II,,0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amr_bin_Mohammed_Al_Faisal_Al_Saud,,,Mohammed bin Faisal Al Saud,,,,,,Saudi royal and businessman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy_Brown_(royal_mistress),,,,,,,,Maidstone,French royal mistress,1876,,1783,,,,1876-05-07,1783-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amélie_of_Leuchtenberg,1829,,"[""Eugène de Beauharnais"",""Princess Augusta of Bavaria""]","[""Lisbon"",""Kingdom of Portugal""]",,Duchess of Braganza,1831,"[""Milan"",""Kingdom of Italy (Napoleonic)""]",,,Pedro I of Brazil,,,,,1873-01-26,1812-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amélie_of_Orléans,0019,,"[""Prince Philippe Count of Paris"",""Princess Marie Isabelle of Orléans""]","[""Le Chesnay"",""France""]",,,1889,"[""London"",""United Kingdom"",""Twickenham"",""England""]",Portuguese queen consort,1951,Carlos I of Portugal,1865,,,,1951-10-25,1865-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An-Nasir_Ahmad,_Sultan_of_Egypt",1342,Al-Ashraf Kujuk,An-Nasir Muhammad,Mamluk Sultanate (Cairo),As-Salih Ismail Sultan of Egypt,Al-Malik an-Nasir,1342,"[""Cairo"",""Mamluk Sultanate (Cairo)""]",,,,,,,,1344-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An-Nasir_Hasan,,,An-Nasir Muhammad,,,Al-Malik an-Nasir,,"[""Cairo"",""Mamluk Sultanate (Cairo)""]",,,,,,,,1361-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An_Dương_Vương,-0257,Hùng_Duệ_Vương,Thục_Chế,,Zhao Tuo,,-0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An_Lushan,0756,Emperor Xuanzong of Tang,Ashide,,An Qingxu,Emperor ofYan,0757,,,,Empress Duan (An Lushan's wife),,,,,0757-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An_Qingxu,0757,,,,,,0759,,General of the Chinese Tang Dynasty,0759,,,,,,0759-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An_Ruzi,-0489,Duke Jing of Qi,Duke Jing of Qi,,Duke Dao of Qi,,-0489,,ruler of the state of Qi,-0489,,,,Yan Ruzi Prince Tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An_Tư,,,Trần Thái Tông,,,Princess,,,Vietnamese princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana-Neda,1323,Theodora Palaiologina,"[""Stefan Milutin"",""Ana Terter""]",Visoki Dečani,Theodora Palaiologina,,1324,Kingdom of Serbia (medieval),,,Michael Shishman of Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_Bagration-Gruzinsky,,,Nugzar Bagration-Gruzinsky,,,,,"[""Tbilisi"",""Georgia (country)""]",Daughter of Nugzar Bagration-Gruzinsky,,David Bagration of Mukhrani,1976,,,,,1976-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_Gruzinsky-Golitsyn,,,Prince Alexander of Kartli (1726–1791),Saint Petersburg,,,,,,,House of Golitsyn,,,,,1842-10-11,1763-08-17,Ana Bagration-Gruzinsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_Gruzinsky_Tolstoy,,,Georgy Gruzinsky,Moscow,,,,Moscow,,,Leo Tolstoy,,,,,1889-07-17,1798-01-31,"[""Ana Bagration-Gruzinsky"",""Ana Gruzinsky-Golitsyn""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_María_de_Huarte_y_Muñiz,1822,,,"[""Pennsylvania"",""Philadelphia"",""United States""]",,Empress consort of Mexico,1823,"[""New Spain"",""Michoacán"",""Morelia""]",Mexican imperial consort,1861,Agustín de Iturbide,1786,"[""Pennsylvania"",""Philadelphia""]",,,1861-03-21,1786-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_Terter,1284,,"[""George I of Bulgaria"",""Kira Maria Asenina of Bulgaria"",""Maria_Terter_of_Bulgaria""]",,,,1299,Bulgaria,Queen consort of Serbia,1304,,,,Anna Anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana_de_Velasco_y_Girón,,,Juan Fernández de Velasco 5th Duke of Frías,Vila Viçosa,,,,,Mother of KingJohn IV of Portugal,1607,Teodósio II Duke of Braganza,1585,,,,1607-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anabella_Drummond,1390,,Thegn,"[""Perth Scotland"",""Scone Palace"",""Scone Perth and Kinross""]",,,1401,"[""Dunfermline Abbey"",""Dunfermline"",""Scotland"",""Fife""]",,,Robert III of Scotland,,Dunfermline Abbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananda_Mahidol,1935,Prajadhipok,"[""Mahidol Adulyadej"",""Srinagarindra""]","[""Thailand"",""Bangkok"",""Grand Palace""]",Bhumibol Adulyadej,King Rama VIII,1946,"[""Weimar Republic"",""Heidelberg"",""Republic of Baden""]",,,,,,,,1946-06-09,1925-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananda_Thuriya_of_Kanba_Myint,1191,,,Yedashe Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anantavarman_Chodaganga,,,,,,,,,Chola king,1150,,1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anastasia,_Margravine_of_Meissen",,,,,,DowagerMargravine of Meissen,,"[""Bavaria"",""Germany"",""Regensburg""]",Saxon noble,,Maria Emanuel Margrave of Meissen,1940,,,,,1940-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anastasia,_Princess_of_Löwenstein-Wertheim-Rosenberg",,,"[""Prince Hubertus of Prussia"",""Princess Magdalena Reuss of Köstritz""]",,,Princess consort of Löwenstein-Wertheim-Rosenberg,,Brzeg,Princess Anastasia of Prussia,,Alois-Konstantin 9th Prince of Löwenstein-Wertheim-Rosenberg,1944,,,,,1944-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasia_Romanovna,1547,,Roman_Yurievich_Zakharyin-Yuriev,Kolomenskoye,,,1560,,,,Ivan the Terrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasia_de_Torby,,,"[""Grand Duke Michael Mikhailovich of Russia"",""Sophie of Merenberg""]",,,Lady Zia Wernher,,Wiesbaden,,,Harold Augustus Wernher,,,,,1977-12-07,1892-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasia_of_Kiev,1046,,"[""Yaroslav the Wise"",""Ingegerd Olofsdotter of Sweden""]","[""Styria"",""Admont Abbey""]",Richeza of Poland Queen of Hungary,,1060,,,,Andrew I of Hungary,,"[""Styria"",""Admont Abbey""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasia_of_Serbia,1196,,,,,,1196,,Princess consort of Serbia,1200,,1125,Studenica Monastery,,,1200-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaukpetlun,1605,Nyaungyan Min,"[""Nyaungyan Min"",""Thiri Maha Dhamma Yaza Dipadi Dewi""]",Bago Myanmar,Minyedeippa,,1628,,,,,,,,,1628-07-09,1578-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anawrahta,1044,Sokkate,"[""Kunhsaw Kyaunghpyu"",""Myauk Pyinthe (Kunhsaw)""]",Bagan,Sawlu,,1077,Bagan,,,"[""Manisanda"",""Saw Mon Hla"",""Pyinsa Kalayani"",""Agga Mahethi of Pagan""]",,,,,1077-04-11,1014-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaxandridas_II,-0560,Leon of Sparta,Leon of Sparta,,Cleomenes I,,-0520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea_von_Habsburg,,,"[""Otto von Habsburg"",""Princess Regina of Saxe-Meiningen""]",,,Hereditary Countess of Neipperg,,"[""Bavaria"",""Würzburg""]",Austrian Archduchess,,,1953,,Archduchess Andrea,,,1953-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreas,_Prince_of_Leiningen",,,"[""Emich Kyrill Prince of Leiningen"",""Prince of Leiningen""]",,,Prince of Leiningen,,"[""Frankfurt"",""Germany"",""Hesse""]",,,Alexandra Princess of Leiningen,,,,,,1955-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreas,_Prince_of_Saxe-Coburg_and_Gotha",1998,Friedrich Josias Prince of Saxe-Coburg and Gotha,"[""Friedrich Josias Prince of Saxe-Coburg and Gotha"",""Countess Viktoria-Luise of Solms-Baruth""]",,Hubertus Hereditary Prince of Saxe-Coburg and Gotha,Prince of Saxe-Coburg and Gotha,,"[""Germany"",""Kasel-Golzig"",""Lower Lusatia""]",,,,,,,,,1943-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrew,_Duke_of_Calabria",,,"[""Charles I of Hungary"",""Elizabeth of Poland Queen of Hungary""]",,,Duke of Calabria,,,,,Joanna I of Naples,,,,,1345-09-18,1327-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew_Armstrong,,,,,,,,,British politician,1863,,1786,,,,1863-01-27,1786-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew_III_of_Hungary,1290,Ladislaus IV of Hungary,"[""Tomasina Morosini"",""Stephen the Posthumous""]",Buda,Wenceslaus III of Bohemia,,1301,,,,"[""Agnes of Austria (1281–1364)"",""Fenenna of Kuyavia""]",,Buda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew_II_of_Hungary,1205,Ladislaus III of Hungary,"[""Béla III of Hungary"",""Agnes of Antioch""]",,Béla IV of Hungary,,1235,,,,"[""Gertrude of Merania"",""Yolanda de Courtenay"",""Beatrice d'Este Queen of Hungary""]",,Igriș Abbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew_I_of_Hungary,1046,Peter King of Hungary,Vazul,"[""Kingdom of Hungary"",""Zirc""]",Béla I of Hungary,,1046,,,,Anastasia of Kiev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew_Lauder,,,,,,,,,Nova Scotian Baronet,1769,,1702,,,,1769-03-06,1702-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey_Gagarin,,,,Maryland,,Prince Andrey Petrovich Gagarin,,"[""Russia"",""Saint Petersburg""]",Russian prince of theRurik dynastyand a professor of physics,2011,,1934,Saint Petersburg,,,2011-01-30,1934-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreyas,,Yeshaq I,,,Takla Maryam,Emperor of Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriamanelo,1540,Rafohy,Rafohy,Twelve sacred hills of Imerina,Ralambo,,1540,Twelve sacred hills of Imerina,,,,,Twelve sacred hills of Imerina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriamasinavalona,1675,Andrianjaka Razakatsitakatrandriana,Andriantsimitoviaminandriandehibe,Antananarivo,Andriantsimitoviaminiandriana Andriandrazaka,,1675,Twelve sacred hills of Imerina,Monarch,1710,,1675,Rova of Antananarivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriambelomasina,1730,Andriantsimitoviaminiandriana Andriandrazaka,,Ambohimanga,Andrianjafy,,1730,,Malagasy monarch,1770,,,"[""Ambohimanga"",""Rova of Antananarivo""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrianjafy,1770,Andriambelomasina,Andriambelomasina,Ilafy,Andrianampoinimerina,,1770,,Malagasy monarch,1787,,1770,Ilafy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrianjaka,1612,Ralambo,Ralambo,Antananarivo,Andriantsitakatrandriana,,1612,,,,,,Rova of Antananarivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrianjaka_Razakatsitakatrandriana,1670,Andriantsimitoviaminandriandehibe,Andriantsimitoviaminandriandehibe,,Andriamasinavalona,,1670,Twelve sacred hills of Imerina,King of Imerina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriantsimitoviaminandriandehibe,1650,Andriantsitakatrandriana,Andriantsitakatrandriana,,Andrianjaka Razakatsitakatrandriana,,1650,Rova of Antananarivo,Malagasy monarch,1670,,,Rova of Antananarivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriantsimitoviaminiandriana_Andriandrazaka,1710,Andriamasinavalona,Andriamasinavalona,Ambohimanga,Andriambelomasina,,1710,,Malagasy monarch,1730,,,Ambohimanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriantsitakatrandriana,1630,Andrianjaka,Andrianjaka,Antananarivo,Andriantsimitoviaminandriandehibe,,1630,Twelve sacred hills of Imerina,,,,,Rova of Antananarivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrija,_Prince_of_Hum",1216,Petar Mirosavljević,Miroslav of Hum,,Stefan Radoslav,Prince of Hum,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ang_Chan_II,1806,Ang Eng,Ang Eng,Oudong,Ang Mey,King of Cambodia,1834,,Cambodian King,1834,,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ang_Duong,1840,Ang Mey,Ang Eng,"[""Oudong"",""Dark ages of Cambodia""]",Norodom of Cambodia,King of Cambodia,1860,,,,,,,,,1860-10-19,1796-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ang_Eng,1779,Ang_Non,,,Ang Chan II,King of Cambodia,1796,,Cambodian King,1796,,1772,,,,1796-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ang_Mey,1834,Ang Chan II,"[""Ang Chan II"",""Anak_Moneang_Krachap""]","[""French Protectorate of Cambodia"",""Oudong""]",Ang Duong,Queen of Cambodia,1840,,Cambodian queen,1874,,1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angharad_ferch_Meurig,,,,,,,,Wales,Welsh princess,,Rhodri the Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankhesenamun,1332,,"[""Nefertiti"",""Akhenaten""]",,,,,Thebes Egypt,,,"[""Tutankhamun"",""Akhenaten"",""Ay""]",,KV21,,,,,Eighteenth Dynasty of Egypt family tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankhhaf,,,Sneferu,,,PrinceofEgypt,,,,,Princess Hetepheres,,"[""Meidum"",""Mastaba""]",,,,,,Vizier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna,_Grand_Duchess_of_Lithuania",1392,,,Trakai,,,1418,,,,,,Vilnius Cathedral,,,1418-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna-Euphrosyne,1199,,"[""Isaac II Angelos"",""Irene_of_Palaiologos""]",,,Grand Princess consort of Kiev,1205,,,,Roman the Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna_Amalia,_Abbess_of_Quedlinburg",1756,Marie Elisabeth Abbess of Quedlinburg,"[""Frederick William I of Prussia"",""Sophia Dorothea of Hanover""]",,Sophia Albertina Abbess of Quedlinburg,,1787,"[""Berlin"",""Kingdom of Prussia""]",,,Friedrich von der Trenck,,,,,1787-03-30,1723-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Angelina_Komnene_Doukaina,1228,,"[""Theodore Komnenos Doukas"",""Maria Petraliphaina""]",,,,1234,,,,Stefan Radoslav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Branicka,,,,,,,,,,,Sebastian Lubomirski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Catherine_Constance_Vasa,,,"[""Sigismund III Vasa"",""Constance of Austria""]","[""Cologne"",""Germany""]",,,,"[""Poland"",""Warsaw""]",Daughter of KingSigismund III Vasa,1651,Philip William Elector Palatine,1619,,,,1651-10-08,1619-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Dandolo,1217,,,Kingdom of Serbia (medieval),,,1228,Republic of Venice,,,,,Sopoćani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Diogenissa,1112,,Constantine Diogenes,,,,1145,Constantinople,Grand Princess consort Byzantine noblewoman,0012,,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Fredericka_Philippine_of_Schleswig-Holstein-Sonderburg-Wiesenburg,1702,,"[""Philip Louis Duke of Schleswig-Holstein-Sonderburg-Wiesenburg"",""Anna Margaret of Hesse-Homburg""]",Neustadt an der Orla,,,1713,Wiesenburg,,,Frederick Henry Duke of Saxe-Zeitz-Pegau-Neustadt,,,,,1748-02-25,1665-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna_II,_Abbess_of_Quedlinburg",1516,Magdalena_Abbess_of_Quedlinburg,"[""Bodo VIII Count of Stolberg-Wernigerode"",""Anna of Eppstein-Königstein""]",Quedlinburg Abbey,Elisabeth II Abbess of Quedlinburg,,1574,Stolberg (Harz),,,,,,,,1574-03-04,1504-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Isabella_Gonzaga,1671,,Ferrante III Gonzaga Duke of Guastalla,"[""Italy"",""Guastalla""]",,,1702,Italy,noble,1703,Ferdinando Carlo Gonzaga Duke of Mantua and Montferrat,1655,,,,1703-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Jagiellon,1575,Henry III of France,"[""Sigismund I the Old"",""Bona Sforza""]",Warsaw,"[""Sigismund III Vasa"",""Interrex (Poland)""]",,1587,Kraków,,,Stephen Báthory,,,,,1596-09-09,1523-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna_Jagiellon,_Duchess_of_Pomerania",1491,,"[""Casimir IV Jagiellon"",""Elizabeth of Austria (1436–1505)""]","[""Ueckermünde"",""Pomerania""]",,,1503,"[""Poland"",""Nieszawa""]",Polish princess,1503,Bogislaw X Duke of Pomerania,1476,Eldena Abbey,,,1503-08-12,1476-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Kaiulani,,,"[""Kapaakea"",""Keohokālole""]",,,,,"[""Honolulu"",""Oahu"",""Kingdom of Hawaii""]",Hawaiian princess,,,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Karolina_Orzelska,,,"[""Augustus II the Strong"",""Henriette Rénard""]","[""Avignon"",""Grenoble"",""France""]",,"[""Countess Orzelska"",""Princess of Schleswig-Holstein-Sonderburg-Beck""]",,"[""Warsaw"",""Polish–Lithuanian Commonwealth""]",Polish noble,1769,Charles Louis Duke of Schleswig-Holstein-Sonderburg-Beck,1707,,,,1769-09-27,1707-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Koltovskaya,1572,,,,,,1574,,,,Ivan the Terrible,,,,,1626-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Komnene,,,"[""Alexios I Komnenos"",""Irene Doukaina""]","[""Byzantine Empire"",""Constantinople""]",,,,"[""Byzantine Empire"",""Constantinople"",""Great Palace of Constantinople""]",,,Nikephoros Bryennios the Younger,,,,,,1083-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Leopoldovna,1740,,"[""Tsarevna Catherine Ivanovna of Russia"",""Karl Leopold Duke of Mecklenburg-Schwerin""]",Kholmogory Arkhangelsk Oblast,,Regent of Russia,1741,Rostock,,,Duke Anthony Ulrich of Brunswick,,,,,1746-03-19,1718-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna_Maria_Franziska_of_Saxe-Lauenburg,1723,,"[""Julius Francis Duke of Saxe-Lauenburg"",""Hedwig of the Palatinate-Sulzbach""]","[""Bohemia"",""Habsburg Monarchy"",""Zákupy""]",,,1737,"[""Holy Roman Empire"",""Amt Neuhaus"",""Saxe-Lauenburg""]",Legal Duchess of Saxe-Lauenburg,1741,"[""Gian Gastone de' Medici Grand Duke of Tuscany"",""Philip William August Count Palatine of Neuburg""]",1673,Zákupy,,,1741-10-15,1673-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
